
 Node          U1          U2          U3
  477  -6.287e-03  -6.639e-03   2.978e-04
  478  -7.456e-03  -8.489e-03   3.089e-04
  479  -8.825e-03  -1.084e-02   3.185e-04
  480  -9.326e-04  -6.950e-04   7.687e-18
  481  -1.795e-03  -1.243e-03   1.103e-17
  482  -2.646e-03  -1.952e-03   1.158e-17
  483  -3.502e-03  -2.833e-03   9.558e-18
  484  -4.372e-03  -3.901e-03   6.369e-18
  485  -5.287e-03  -5.168e-03   3.866e-21
  486  -6.300e-03  -6.681e-03  -8.618e-18
  487  -7.473e-03  -8.536e-03  -1.951e-17
  488  -8.843e-03  -1.090e-02  -3.582e-17
  489  -9.275e-04  -6.850e-04  -1.003e-04
  490  -1.792e-03  -1.224e-03  -1.744e-04
  491  -2.644e-03  -1.927e-03  -2.235e-04
  492  -3.500e-03  -2.804e-03  -2.527e-04
  493  -4.367e-03  -3.867e-03  -2.710e-04
  494  -5.278e-03  -5.131e-03  -2.852e-04
  495  -6.287e-03  -6.639e-03  -2.978e-04
  496  -7.456e-03  -8.489e-03  -3.089e-04
  497  -8.825e-03  -1.084e-02  -3.185e-04
  498  -9.161e-04  -6.530e-04  -2.142e-04
  499  -1.785e-03  -1.165e-03  -3.668e-04
  500  -2.646e-03  -1.849e-03  -4.589e-04
  501  -3.497e-03  -2.712e-03  -5.090e-04
  502  -4.353e-03  -3.764e-03  -5.431e-04
  503  -5.252e-03  -5.015e-03  -5.736e-04
  504  -6.248e-03  -6.507e-03  -6.049e-04
  505  -7.408e-03  -8.338e-03  -6.361e-04
  506  -8.774e-03  -1.067e-02  -6.643e-04
  507  -9.008e-04  -5.854e-04  -3.683e-04
  508  -1.809e-03  -1.055e-03  -6.007e-04
  509  -2.667e-03  -1.709e-03  -7.071e-04
  510  -3.504e-03  -2.553e-03  -7.671e-04
  511  -4.342e-03  -3.585e-03  -8.126e-04
  512  -5.220e-03  -4.810e-03  -8.626e-04
  513  -6.197e-03  -6.268e-03  -9.234e-04
  514  -7.342e-03  -8.055e-03  -9.914e-04
  515  -8.701e-03  -1.034e-02  -1.056e-03
  516   7.024e-12  -4.120e-13  -1.033e-12
  517   6.900e-12  -6.269e-13  -7.029e-13
  518   6.985e-12  -7.044e-13  -3.199e-13
  519   7.013e-12  -7.264e-13  -1.928e-26
  520   6.985e-12  -7.044e-13   3.199e-13
  521   6.900e-12  -6.269e-13   7.029e-13
  522   7.024e-12  -4.120e-13   1.033e-12
  523   4.352e-12  -8.776e-14  -6.769e-13
  524   4.233e-12  -3.400e-13  -4.586e-13
  525   4.263e-12  -4.332e-13  -2.089e-13
  526   4.272e-12  -4.600e-13  -1.367e-26
  527   4.263e-12  -4.332e-13   2.089e-13
  528   4.233e-12  -3.400e-13   4.586e-13
  529   4.352e-12  -8.776e-14   6.769e-13
  530   2.107e-12   1.517e-13  -3.367e-13
  531   2.054e-12  -1.026e-13  -2.276e-13
  532   2.071e-12  -1.975e-13  -1.035e-13
  533   2.076e-12  -2.250e-13  -5.913e-27
  534   2.071e-12  -1.975e-13   1.035e-13
  535   2.054e-12  -1.026e-13   2.276e-13
